Species,Evolution,Candy Cost,Required Item,Required Friendship,Required Time of Day,Sprite Size
Bulbasaur,Bulbasaur (Base),0,-,-,-,32
Bulbasaur,Ivysaur,10,-,-,-,32
Bulbasaur,Venusaur,25,-,-,-,32
Charmander,Charmander (Base),0,-,-,-,32
Charmander,Charmeleon,10,-,-,-,32
Charmander,Charizard,25,-,200,-,48
Squirtle,Squirtle (Base),0,-,-,-,32
Squirtle,Wartortle,10,-,-,-,32
Squirtle,Blastoise,25,-,-,-,32
Pichu,Pichu (Base),0,-,-,-,32
Pichu,Pikachu,25,-,200,-,32
Pichu,Raichu,25,Thunder Stone,-,-,32
Eevee,Eevee (Base),0,-,-,-,32
Eevee,Vaporeon,5,Water Stone,-,-,32
Eevee,Jolteon,5,Thunder Stone,-,-,32
Eevee,Flareon,5,Fire Stone,-,-,32
Eevee,Espeon,5,-,200,Day,32
Eevee,Umbreon,5,-,200,Night,32
Eevee,Leafeon,5,Leaf Stone,-,-,32
Eevee,Glaceon,5,Ice Stone,-,-,32
Eevee,Sylveon,5,Shiny Stone (i'll cgnage later to fairy skill),200,-,32
Gastly,Gastly (Base),0,-,-,-,32
Gastly,Haunter,25,-,-,-,32
Gastly,Gengar,50,-,-,-,32
Chikorita,Chikorita (Base),0,-,-,-,32
Chikorita,Bayleef,10,-,-,-,48
Chikorita,Meganium,25,-,-,-,32
Cyndaquil,Cyndaquil (Base),0,-,-,-,32
Cyndaquil,Quilava,10,-,-,-,32
Cyndaquil,Typhlosion,25,-,-,-,32
Totodile,Totodile (Base),0,-,-,-,32
Totodile,Croconaw,10,-,-,-,32
Totodile,Feraligatr,25,-,-,-,32
Treecko,Treecko (Base),0,-,-,-,32
Treecko,Grovyle,10,-,-,-,32
Treecko,Sceptile,25,-,-,-,32
Torchic,Torchic (Base),0,-,-,-,32
Torchic,Combusken,10,-,-,-,32
Torchic,Blaziken,25,-,-,-,32
Mudkip,Mudkip (Base),0,-,-,-,32
Mudkip,Marshtomp,10,-,-,-,32
Mudkip,Swampert,25,-,-,-,32
Turtwig,Turtwig (Base),0,-,-,-,32
Turtwig,Grotle,10,-,-,-,32
Turtwig,Torterra,25,-,-,-,48
Chimchar,Chimchar (Base),0,-,-,-,32
Chimchar,Monferno,10,-,-,-,32
Chimchar,Infernape,25,-,-,-,32
Piplup,Piplup (Base),0,-,-,-,32
Piplup,Prinplup,10,-,-,-,32
Piplup,Empoleon,25,-,-,-,32
Snivy,Snivy (Base),0,-,-,-,32
Snivy,Servine,10,-,-,-,32
Snivy,Serperior,25,-,-,-,32
Tepig,Tepig (Base),0,-,-,-,32
Tepig,Pignite,10,-,-,-,32
Tepig,Emboar,25,-,-,-,32
Oshawott,Oshawott (Base),0,-,-,-,32
Oshawott,Dewott,10,-,-,-,32
Oshawott,Samurott,25,-,-,-,48
Zorua,Zorua (Base),0,-,-,-,32
Zorua,Zoroark,25,-,-,-,48
Zorua (Hisuian),Zorua Hisui (Base),0,-,-,-,32
Zorua (Hisuian),Zoroark Hisui,25,-,-,-,48
